index,RiskPropension,PortfolioRisk,ClientInvestmentHorizon,PortfolioHorizon,ClientKnowledgeExperience,ClientPotentialIndex,IncomeHighLow,Sex,AuM,Age,IncomeNeed,LongTermCareNeed,ProtectionNeed,PensionNeed,InheritanceIndex,PanicMood,ClientDateStart,NoTrustInBanks,BondInvestments,EquityInvestments,MoneyMarketInvestments,OtherInvestments,Cash,Clusters,Age_d,IncomeNeed_d,RiskPropension_d,ProtectionNeed_d,InheritanceIndex_d
Cluster -1,0.5972080498807527,0.03293051614769876,13.138024430539744,1.6211866108786612,0.6495317793535569,0.35338321736610856,0.1297071129707113,0.5146443514644351,367488.32217573223,47.28870292887029,0.3889615986694564,0.5338637209790795,0.6249220214100422,0.4789301912050206,0.4604879968786609,-0.11297071129707113,2014.3619246861924,0.20292887029288703,0.5200845188284515,0.13858472803347285,0.0466349372384937,0.030053556485355654,0.2572466527196653,-1.0,47,4,6,6,5
Cluster 0,0.4420951331406356,0.05435004257736583,12.03690473108934,2.707849370385508,0.6155809777084476,0.2332965208037734,0.07842488418266048,0.49669093315684976,79271.12739907346,58.69920582395764,0.30225599153044325,0.43816581362640555,0.26155877096558533,0.3896572947266718,0.5096047158884851,0.0,2013.5919920582396,0.10125744540039709,0.48458259430840456,0.270677763070814,0.05008563864990083,0.047344374586366714,0.136139046988749,0.0,59,3,4,3,5
Cluster 1,0.426926405138436,0.0566097402687297,10.518865975019528,2.5497495114006523,0.7639212038127015,0.38254431364332264,0.13680781758957655,0.5342019543973942,796795.483713355,66.0586319218241,0.7143942296254073,0.4001485744951142,0.26884883278501637,0.28139908136807823,0.6741154263550486,0.0,2014.5228013029316,0.19218241042345277,0.5633724755700333,0.26165276872964155,0.04726514657980458,0.04874120521172636,0.07266026058631923,1.0,66,7,4,3,7
Cluster 2,0.6683537902968423,0.025595047781052642,16.22894707267999,1.2763639999999998,0.48360902274947326,0.19217307069263137,0.008421052631578947,0.5157894736842106,37246.012631578946,28.896842105263158,0.13519265777052625,0.8090696622778939,0.7060337242757895,0.592215103048421,0.12808142385894744,-0.00631578947368421,2015.322105263158,0.05263157894736842,0.416508210526316,0.1163111578947368,0.030622526315789465,0.012743368421052632,0.42328105263157867,2.0,29,1,7,7,1
Cluster 3,0.5927370815328464,0.028627986405839412,14.251060794931854,1.393857420924575,0.5569458928321173,0.19554580328223825,0.012165450121654502,0.5060827250608273,66410.85644768857,45.250608272506085,0.22325580652068117,0.41817117185158137,0.7086038983406334,0.5531477592287101,0.46059710139659327,-0.021897810218978103,2014.956204379562,0.0851581508515815,0.5774763990267641,0.12499878345498797,0.048771776155717754,0.022450121654501227,0.22542530413625336,3.0,45,2,6,7,5
